Tide Station	Longitude	Latitude	Sea level change (mm/year)	Sea level change	Sea level change	Symbol Color (rgb)	Measurement period	Link	Image
"Maloy| Norway"	5.1167	61.9333	0.72	0.72+/-0.33	0.24+/-0.11	0|255|55	1943-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=040-211	sltbackgroundup.png
"Bergen| Norway"	5.3	60.4	0.0	0.0+/-0.2	0.0+/-0.06	0|255|55	1915-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=040-221	sltbackgroundup.png
"Stavanger| Norway"	5.7333	58.9667	0.36	0.36+/-0.19	0.12+/-0.06	0|255|55	1919-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=040-261	sltbackgroundup.png
"Tregde| Norway"	7.5667	58.0	0.26	0.26+/-0.17	0.09+/-0.06	0|255|55	1927-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=040-301	sltbackgroundup.png
"Oslo| Norway"	10.75	59.9	-3.12	-3.12+/-0.27	-1.02+/-0.09	0|255|255	1885-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=040-321	sltbackgrounddown.png
"Smogen| Sweden"	11.2167	58.3667	-1.76	-1.76+/-0.23	-0.58+/-0.07	0|0|250	1911-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=050-011	sltbackgrounddown.png
"Goteborg - Torshamnen| Sweden"	11.8	57.6833	-1.09	-1.09+/-0.34	-0.36+/-0.11	0|0|250	1887-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=050-032	sltbackgrounddown.png
"Klagshamn| Sweden"	12.9	55.5167	0.3	0.3+/-0.37	0.1+/-0.12	0|255|55	1929-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=050-051	sltbackgroundup.png
"Kungholmsfort| Sweden"	15.5833	56.1	0.02	0.02+/-0.23	0.01+/-0.07	0|255|55	1887-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=050-081	sltbackgroundup.png
"Olands Norra Udde| Sweden"	17.0972	57.3661	-1.09	-1.09+/-0.27	-0.36+/-0.09	0|0|250	1887-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=050-091	sltbackgrounddown.png
"Visby| Sweden"	18.2844	57.6392	-1.13	-1.13+/-0.39	-0.37+/-0.13	0|0|250	1916-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=050-096	sltbackgrounddown.png
"Landsort Norra| Sweden"	17.8589	58.7689	-2.81	-2.81+/-0.28	-0.92+/-0.09	0|0|250	1887-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=050-123	sltbackgrounddown.png
"Stockholm| Sweden"	18.0833	59.3167	-3.77	-3.77+/-0.29	-1.24+/-0.1	0|255|255	1889-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=050-141	sltbackgrounddown.png
"Ratan| Sweden"	20.9167	64.0	-7.72	-7.72+/-0.35	-2.53+/-0.12	255|0|250	1892-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=050-191	sltbackgrounddown.png
"Furuogrund| Sweden"	21.2333	64.9167	-7.95	-7.95+/-0.51	-2.61+/-0.17	255|0|250	1916-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=050-201	sltbackgrounddown.png
"Kemi| Finland"	24.5167	65.6667	-6.76	-6.76+/-0.56	-2.22+/-0.18	255|0|250	1920-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=060-001	sltbackgrounddown.png
"Oulu/Uleaborg| Finland"	25.4167	65.0333	-6.29	-6.29+/-0.37	-2.06+/-0.12	255|0|250	1889-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=060-011	sltbackgrounddown.png
"Raahe/Brahestad| Finland"	24.4	64.6667	-6.68	-6.68+/-0.58	-2.19+/-0.19	255|0|250	1922-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=060-021	sltbackgrounddown.png
"Pietarsaari/Jakobstad| Finland"	22.7	63.7	-7.08	-7.08+/-0.51	-2.32+/-0.17	255|0|250	1914-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=060-041	sltbackgrounddown.png
"Vaasa/Vasa| Finland"	21.5667	63.0833	-7.21	-7.21+/-0.31	-2.36+/-0.1	255|0|250	1883-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=060-051	sltbackgrounddown.png
"Kaskinen/Kasko| Finland"	21.2167	62.35	-6.3	-6.3+/-0.59	-2.07+/-0.19	255|0|250	1926-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=060-071	sltbackgrounddown.png
"Mantyluoto| Finland"	21.4667	61.6	-5.73	-5.73+/-0.45	-1.88+/-0.15	0|255|255	1910-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=060-101	sltbackgrounddown.png
"Turku/Abo| Finland"	22.1	60.4333	-3.51	-3.51+/-0.54	-1.15+/-0.18	0|255|255	1922-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=060-241	sltbackgrounddown.png
"Foglo/Degerby| Finland"	20.3833	60.0333	-3.64	-3.64+/-0.52	-1.19+/-0.17	0|255|255	1923-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=060-281	sltbackgrounddown.png
"Hanko/Hango| Finland"	23.55	60.1	-2.56	-2.56+/-0.34	-0.84+/-0.11	0|0|250	1887-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=060-331	sltbackgrounddown.png
"Helsinki| Finland"	24.9667	60.15	-2.22	-2.22+/-0.31	-0.73+/-0.1	0|0|250	1879-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=060-351	sltbackgrounddown.png
"Hamina| Finland"	27.1833	60.5667	-0.86	-0.86+/-0.68	-0.28+/-0.22	0|0|250	1928-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=060-361	sltbackgrounddown.png
"Pionersky| Russia"	20.2167	54.95	1.84	1.84+/-0.88	0.6+/-0.29	0|255|55	1926-1986	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=080-181	sltbackgroundup.png
"Klaipeda| Lithuania"	21.1333	55.7	1.49	1.49+/-0.36	0.49+/-0.12	0|255|55	1898-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=084-161	sltbackgroundup.png
"Gdansk/Nowy Port| Poland"	18.6833	54.4	2.91	2.91+/-1.23	0.95+/-0.4	0|255|55	1951-1999	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=110-022	sltbackgroundup.png
"Wladyslawowo| Poland"	18.4167	54.8	2.45	2.45+/-1.26	0.81+/-0.41	0|255|55	1951-1999	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=110-047	sltbackgroundup.png
"Ustka| Poland"	16.8667	54.5833	1.71	1.71+/-1.16	0.56+/-0.38	0|255|55	1951-1999	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=110-057	sltbackgroundup.png
"Kolobrzeg| Poland"	15.55	54.1833	1.27	1.27+/-1.07	0.42+/-0.35	0|255|55	1951-1999	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=110-072	sltbackgroundup.png
"Swinoujscie| Poland"	14.2333	53.9167	0.81	0.81+/-0.12	0.26+/-0.04	0|255|55	1811-1999	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=110-092	sltbackgroundup.png
"Warnemunde| Germany"	12.0833	54.1833	1.26	1.26+/-0.11	0.41+/-0.03	0|255|55	1855-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=120-012	sltbackgroundup.png
"Wismar| Germany"	11.4667	53.9	1.43	1.43+/-0.09	0.47+/-0.03	0|255|55	1848-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=120-022	sltbackgroundup.png
"Travemunde| Germany"	10.8722	53.9581	1.65	1.65+/-0.09	0.54+/-0.03	0|255|55	1856-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=125-001	sltbackgroundup.png
"Gedser| Denmark"	11.9333	54.5667	1.2	1.2+/-0.15	0.39+/-0.05	0|255|55	1892-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=130-001	sltbackgroundup.png
"Kobenhavn| Denmark"	12.6	55.6833	0.59	0.59+/-0.18	0.19+/-0.06	0|255|55	1889-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=130-021	sltbackgroundup.png
"Hornbaek| Denmark"	12.4667	56.1	0.4	0.4+/-0.18	0.13+/-0.06	0|255|55	1891-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=130-031	sltbackgroundup.png
"Korsor| Denmark"	11.1333	55.3333	0.83	0.83+/-0.17	0.27+/-0.05	0|255|55	1897-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=130-041	sltbackgroundup.png
"Slipshavn| Denmark"	10.8333	55.2833	1.07	1.07+/-0.14	0.35+/-0.05	0|255|55	1896-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=130-051	sltbackgroundup.png
"Fredericia| Denmark"	9.7667	55.5667	1.1	1.1+/-0.1	0.36+/-0.03	0|255|55	1889-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=130-071	sltbackgroundup.png
"Aarhus| Denmark"	10.2167	56.15	0.65	0.65+/-0.11	0.21+/-0.03	0|255|55	1888-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=130-081	sltbackgroundup.png
"Frederikshavn| Denmark"	10.5667	57.4333	0.06	0.06+/-0.14	0.02+/-0.05	0|255|55	1894-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=130-091	sltbackgroundup.png
"Hirtshals| Denmark"	9.9667	57.6	-0.22	-0.22+/-0.19	-0.07+/-0.06	0|0|250	1892-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=130-101	sltbackgrounddown.png
"Esbjerg| Denmark"	8.4333	55.4667	1.25	1.25+/-0.24	0.41+/-0.08	0|255|55	1889-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=130-121	sltbackgroundup.png
"Cuxhaven 2| Germany"	8.7167	53.8667	2.11	2.11+/-0.14	0.69+/-0.05	0|255|55	1843-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=140-012	sltbackgroundup.png
"Delfzijl| Netherlands"	6.9331	53.3264	1.75	1.75+/-0.14	0.57+/-0.05	0|255|55	1865-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=150-001	sltbackgroundup.png
"Harlingen| Netherlands"	5.409	53.176	1.42	1.42+/-0.13	0.47+/-0.04	0|255|55	1865-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=150-021	sltbackgroundup.png
"Den Helder| Netherlands"	4.745	52.9644	1.48	1.48+/-0.11	0.49+/-0.04	0|255|55	1865-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=150-031	sltbackgroundup.png
"Ijmuiden| Netherlands"	4.5547	52.4622	2.1	2.1+/-0.14	0.69+/-0.05	0|255|55	1871-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=150-041	sltbackgroundup.png
"Hoek van Holland| Netherlands"	4.12	51.9775	2.39	2.39+/-0.1	0.78+/-0.03	0|255|55	1864-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=150-051	sltbackgroundup.png
"Maassluis| Netherlands"	4.2497	51.9175	1.67	1.67+/-0.1	0.55+/-0.03	0|255|55	1848-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=150-061	sltbackgroundup.png
"Vlissingen| Netherlands"	3.5961	51.4422	2.16	2.16+/-0.12	0.71+/-0.04	0|255|55	1862-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=150-101	sltbackgroundup.png
"Zeebrugge| Belgium"	3.2	51.35	2.68	2.68+/-0.34	0.88+/-0.11	0|255|55	1942-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=160-011	sltbackgroundup.png
"Oostende| Belgium"	2.9167	51.2333	1.84	1.84+/-0.22	0.6+/-0.07	0|255|55	1937-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=160-021	sltbackgroundup.png
"Nieuwpoort| Belgium"	2.7333	51.15	2.43	2.43+/-0.37	0.8+/-0.12	0|255|55	1943-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=160-031	sltbackgroundup.png
"Lerwick| UK"	-1.1333	60.15	0.33	0.33+/-0.35	0.11+/-0.11	0|255|55	1957-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=170-001	sltbackgroundup.png
"Wick| UK"	-3.0863	58.441	1.36	1.36+/-0.46	0.45+/-0.15	0|255|55	1965-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=170-005	sltbackgroundup.png
"Aberdeen I| UK"	-2.0774	57.1441	0.75	0.75+/-0.09	0.24+/-0.03	0|255|55	1862-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=170-011	sltbackgroundup.png
"North Shields| UK"	-1.4333	55.0	1.9	1.9+/-0.13	0.62+/-0.04	0|255|55	1895-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=170-053	sltbackgroundup.png
"Immingham| UK"	-0.1874	53.6302	0.76	0.76+/-0.42	0.25+/-0.14	0|255|55	1959-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=170-061	sltbackgroundup.png
"Lowestoft| UK"	1.7501	52.4731	2.56	2.56+/-0.33	0.84+/-0.11	0|255|55	1955-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=170-068	sltbackgroundup.png
"Southend| UK"	0.7238	51.5145	1.22	1.22+/-0.19	0.4+/-0.06	0|255|55	1933-2015	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=170-081	sltbackgroundup.png
"Tower Pier| UK"	0.0833	51.5	1.43	1.43+/-0.35	0.47+/-0.11	0|255|55	1929-2013	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=170-092	sltbackgroundup.png
"Sheerness| UK"	0.75	51.45	1.67	1.67+/-0.09	0.55+/-0.03	0|255|55	1832-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=170-101	sltbackgroundup.png
"Dover| UK"	1.3227	51.1144	2.26	2.26+/-0.29	0.74+/-0.09	0|255|55	1961-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=170-111	sltbackgroundup.png
"Portsmouth| UK"	-1.1113	50.8022	1.67	1.67+/-0.43	0.55+/-0.14	0|255|55	1961-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=170-131	sltbackgroundup.png
"Devonport| UK"	-4.1852	50.3684	2.02	2.02+/-0.58	0.66+/-0.19	0|255|55	1961-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=170-157	sltbackgroundup.png
"Newlyn| UK"	-5.55	50.1	1.84	1.84+/-0.16	0.6+/-0.05	0|255|55	1915-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=170-161	sltbackgroundup.png
"Holyhead| UK"	-4.6204	53.3139	2.28	2.28+/-0.28	0.75+/-0.09	0|255|55	1938-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=170-191	sltbackgroundup.png
"Liverpool| UK"	-3.0	53.4	1.14	1.14+/-0.19	0.37+/-0.06	0|255|55	1858-1983	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=170-211	sltbackgroundup.png
"Heysham| UK"	-2.9202	54.0318	2.38	2.38+/-0.63	0.78+/-0.21	0|255|55	1960-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=170-225	sltbackgroundup.png
"Portpatrick| UK"	-5.12	54.8426	2.21	2.21+/-0.62	0.72+/-0.2	0|255|55	1968-2011	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=170-236	sltbackgroundup.png
"Millport| UK"	-4.9063	55.7498	1.6	1.6+/-0.66	0.53+/-0.22	0|255|55	1968-2016	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=170-241	sltbackgroundup.png
"Stornoway| UK"	-6.3833	58.2	2.49	2.49+/-0.68	0.82+/-0.22	0|255|55	1977-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=170-251	sltbackgroundup.png
"Malin Head| Ireland"	-7.3333	55.3667	-1.2	-1.2+/-0.75	-0.39+/-0.25	0|0|250	1958-2002	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=175-011	sltbackgrounddown.png
"Dublin| Ireland"	-6.2167	53.35	1.43	1.43+/-0.46	0.47+/-0.15	0|255|55	1938-2009	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=175-071	sltbackgroundup.png
"Dunkerque| France"	2.3667	51.05	1.68	1.68+/-0.32	0.55+/-0.1	0|255|55	1942-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=190-001	sltbackgroundup.png
"Calais| France"	1.8677	50.9694	0.56	0.56+/-0.54	0.18+/-0.18	0|255|55	1941-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=190-011	sltbackgroundup.png
"Dieppe| France"	1.0838	49.9291	4.32	4.32+/-0.42	1.42+/-0.14	255|255|58	1954-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=190-031	sltbackgroundup.png
"Le Havre| France"	0.1	49.4333	2.07	2.07+/-0.41	0.68+/-0.13	0|255|55	1938-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=190-051	sltbackgroundup.png
"Brest| France"	-4.5	48.3833	1.01	1.01+/-0.08	0.33+/-0.03	0|255|55	1807-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=190-091	sltbackgroundup.png
"St. Nazaire| France"	-2.2	47.27	1.5	1.5+/-0.55	0.49+/-0.18	0|255|55	1941-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=190-111	sltbackgroundup.png
"La Rochelle-La Pallice| France"	-1.2207	46.1585	1.55	1.55+/-0.72	0.51+/-0.24	0|255|55	1941-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=190-121	sltbackgroundup.png
"Port Bloc| France"	-1.0616	45.5685	1.48	1.48+/-0.64	0.49+/-0.21	0|255|55	1959-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=190-126	sltbackgroundup.png
"Boucau| France"	-1.5148	43.5273	1.6	1.6+/-0.8	0.52+/-0.26	0|255|55	1967-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=190-139	sltbackgroundup.png
"St. Jean de Luz (Socoa)| France"	-1.6833	43.4	1.52	1.52+/-0.48	0.5+/-0.16	0|255|55	1942-2017	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=190-141	sltbackgroundup.png
"Santander| Spain"	-3.7908	43.4613	2.22	2.22+/-0.34	0.73+/-0.11	0|255|55	1943-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=200-011	sltbackgroundup.png
"La Coruna| Spain"	-8.4	43.3667	2.43	2.43+/-0.36	0.8+/-0.12	0|255|55	1943-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=200-030	sltbackgroundup.png
"Vigo| Spain"	-8.731	42.238	2.05	2.05+/-0.38	0.67+/-0.12	0|255|55	1943-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=200-041	sltbackgroundup.png
"Cascais| Portugal"	-9.4167	38.6833	1.32	1.32+/-0.15	0.43+/-0.05	0|255|55	1882-1993	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=210-021	sltbackgroundup.png
"Lagos| Portugal"	-8.6667	37.1	1.62	1.62+/-0.24	0.53+/-0.08	0|255|55	1908-1999	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=210-031	sltbackgroundup.png
"Gibraltar| Gibraltar"	-5.35	36.1333	0.59	0.59+/-0.93	0.19+/-0.3	0|255|55	1961-2014	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=215-001	sltbackgroundup.png
"Cadiz III| Spain"	-6.2833	36.5333	3.57	3.57+/-0.57	1.17+/-0.19	255|255|58	1961-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=220-003	sltbackgroundup.png
"Algeciras| Spain"	-5.4333	36.1167	0.43	0.43+/-0.3	0.14+/-0.1	0|255|55	1943-2002	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=220-011	sltbackgroundup.png
"Tarifa| Spain"	-5.6	36.0	1.27	1.27+/-0.43	0.42+/-0.14	0|255|55	1943-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=220-021	sltbackgroundup.png
"Malaga| Spain"	-4.4167	36.7167	0.76	0.76+/-0.46	0.25+/-0.15	0|255|55	1944-2013	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=220-031	sltbackgroundup.png
"Alicante II| Spain"	-0.4812	38.3389	-0.21	-0.21+/-0.56	-0.07+/-0.18	0|0|250	1960-1997	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=220-052	sltbackgrounddown.png
"Port Vendres| France"	3.1073	42.5201	3.45	3.45+/-0.81	1.13+/-0.27	255|255|58	1984-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=230-006	sltbackgroundup.png
"Marseille| France"	5.35	43.3	1.3	1.3+/-0.13	0.43+/-0.04	0|255|55	1885-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=230-051	sltbackgroundup.png
"Toulon| France"	5.9147	43.1129	1.06	1.06+/-0.52	0.35+/-0.17	0|255|55	1961-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=230-061	sltbackgroundup.png
"Nice| France"	7.2855	43.6956	2.88	2.88+/-0.7	0.94+/-0.23	0|255|55	1978-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=230-081	sltbackgroundup.png
"Genova| Italy"	8.9	44.4	1.18	1.18+/-0.14	0.39+/-0.05	0|255|55	1884-1997	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=250-011	sltbackgroundup.png
"Venezia (Punta della Salute)| Italy"	12.3333	45.4333	2.44	2.44+/-0.15	0.8+/-0.05	0|255|55	1872-2000	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=270-054	sltbackgroundup.png
"Trieste| Italy"	13.7585	45.6474	1.31	1.31+/-0.14	0.43+/-0.05	0|255|55	1875-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=270-061	sltbackgroundup.png
"Rovinj| Croatia"	13.6283	45.0833	0.75	0.75+/-0.42	0.24+/-0.14	0|255|55	1955-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=280-006	sltbackgroundup.png
"Bakar| Croatia"	14.5333	45.3	1.09	1.09+/-0.35	0.36+/-0.11	0|255|55	1930-2013	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=280-011	sltbackgroundup.png
"Split Rt Marjana| Croatia"	16.3917	43.5083	0.61	0.61+/-0.46	0.2+/-0.15	0|255|55	1952-2008	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=280-021	sltbackgroundup.png
